-206.59 , 47.06 , -657.3
-204.8 , 46.97 , -657.14
-202.98 , 46.88 , -656.98
-201.13 , 46.79 , -656.83
-199.27 , 46.69 , -656.66
-197.39 , 46.6 , -656.5
-195.52 , 46.51 , -656.34
-193.65 , 46.41 , -656.17
-191.8 , 46.32 , -656.01
-189.94 , 46.23 , -655.85
-188.09 , 46.14 , -655.69
-186.24 , 46.04 , -655.53
-184.38 , 45.95 , -655.38
-182.48 , 45.86 , -655.22
-180.53 , 45.76 , -655.05
-178.48 , 45.66 , -654.87
-176.32 , 45.55 , -654.67
-174.01 , 45.43 , -654.46
-171.55 , 45.31 , -654.22
-168.94 , 45.18 , -653.99
-166.19 , 45.05 , -653.76
-163.29 , 44.9 , -653.55
-160.26 , 44.75 , -653.36
-157.09 , 44.59 , -653.2
-153.82 , 44.43 , -653.05
-150.45 , 44.26 , -652.92
-147.01 , 44.09 , -652.81
-143.5 , 43.92 , -652.7
-139.91 , 43.74 , -652.6
-136.21 , 43.56 , -652.49
-132.37 , 43.37 , -652.38
-128.38 , 43.17 , -652.24
-124.21 , 42.96 , -652.09
-119.85 , 42.75 , -651.9
-115.32 , 42.52 , -651.69
-110.61 , 42.29 , -651.45
-105.71 , 42.05 , -651.16
-100.65 , 41.8 , -650.85
-95.46 , 41.54 , -650.5
-90.19 , 41.28 , -650.13
-84.91 , 41.02 , -649.76
-79.65 , 40.75 , -649.38
-74.45 , 40.5 , -649.02
-69.22 , 40.24 , -648.66
-63.86 , 39.97 , -648.3
-58.24 , 39.69 , -647.91
-52.28 , 39.4 , -647.51
-45.9 , 39.08 , -647.07
-39.25 , 38.75 , -646.62
-32.55 , 38.42 , -646.16
-26.0 , 38.1 , -645.71
-19.79 , 37.79 , -645.28
-14.07 , 37.51 , -644.89
-8.63 , 37.24 , -644.52
-3.24 , 36.97 , -644.15
2.39 , 36.69 , -643.77
8.5 , 36.39 , -643.35
15.27 , 36.06 , -642.88
22.6 , 35.7 , -642.38
30.26 , 35.32 , -641.86
38.08 , 34.93 , -641.32
45.83 , 34.55 , -640.79
53.39 , 34.18 , -640.27
60.77 , 33.81 , -639.77
68.09 , 33.45 , -639.27
75.41 , 33.09 , -638.77
82.84 , 32.73 , -638.26
90.44 , 32.35 , -637.74
98.19 , 31.97 , -637.21
106.07 , 31.59 , -636.67
114.04 , 31.2 , -636.12
122.06 , 30.8 , -635.57
130.1 , 30.41 , -635.02
138.15 , 30.01 , -634.47
146.19 , 29.62 , -633.92
154.22 , 29.23 , -633.37
162.22 , 28.84 , -632.83
170.2 , 28.45 , -632.28
178.24 , 28.05 , -631.73
186.43 , 27.65 , -631.17
194.88 , 27.24 , -630.59
203.68 , 26.82 , -629.99
212.89 , 26.37 , -629.36
222.34 , 25.91 , -628.71
231.86 , 25.45 , -628.06
241.25 , 24.99 , -627.42
250.31 , 24.56 , -626.8
258.92 , 24.14 , -626.21
267.29 , 23.74 , -625.64
275.67 , 23.34 , -625.07
284.33 , 22.93 , -624.48
293.55 , 22.48 , -623.85
303.5 , 22.01 , -623.17
313.96 , 21.51 , -622.45
324.65 , 21.0 , -621.72
335.25 , 20.51 , -621.0
345.47 , 20.05 , -620.3
355.11 , 19.64 , -619.64
364.29 , 19.26 , -619.02
373.26 , 18.89 , -618.4
382.25 , 18.52 , -617.79
391.5 , 18.13 , -617.15
401.17 , 17.7 , -616.49
411.18 , 17.24 , -615.82
421.39 , 16.76 , -615.16
431.64 , 16.28 , -614.54
441.79 , 15.8 , -613.98
451.72 , 15.33 , -613.51
461.45 , 14.87 , -613.11
471.01 , 14.43 , -612.76
480.45 , 13.99 , -612.45
489.81 , 13.55 , -612.15
499.13 , 13.12 , -611.85
508.4 , 12.68 , -611.55
517.63 , 12.25 , -611.25
526.82 , 11.82 , -610.96
535.94 , 11.39 , -610.66
545.0 , 10.97 , -610.37
553.86 , 10.55 , -610.09
562.42 , 10.15 , -609.83
570.54 , 9.77 , -609.58
578.1 , 9.42 , -609.34
585.0 , 9.09 , -609.13
591.31 , 8.8 , -608.94
597.13 , 8.52 , -608.77
602.57 , 8.27 , -608.61
607.73 , 8.03 , -608.47
612.69 , 7.8 , -608.34
617.47 , 7.57 , -608.21
622.07 , 7.36 , -608.09
626.48 , 7.15 , -607.97
630.7 , 6.95 , -607.84
634.73 , 6.77 , -607.7
638.57 , 6.59 , -607.54
642.22 , 6.42 , -607.38
645.65 , 6.26 , -607.19
648.88 , 6.11 , -606.98
651.91 , 5.96 , -606.76
654.78 , 5.83 , -606.52
657.57 , 5.7 , -606.28
660.32 , 5.57 , -606.04
663.09 , 5.44 , -605.82
665.94 , 5.31 , -605.63
668.84 , 5.17 , -605.46
671.76 , 5.04 , -605.31
674.65 , 4.9 , -605.16
677.48 , 4.77 , -605.02
680.23 , 4.64 , -604.88
682.95 , 4.51 , -604.74
685.72 , 4.39 , -604.59
688.59 , 4.25 , -604.44
691.64 , 4.11 , -604.28
694.91 , 3.96 , -604.1
698.38 , 3.8 , -603.92
702.03 , 3.63 , -603.73
705.8 , 3.46 , -603.53
709.66 , 3.28 , -603.33
713.59 , 3.09 , -603.12
717.58 , 2.91 , -602.91
721.66 , 2.72 , -602.69
725.83 , 2.52 , -602.47
730.11 , 2.33 , -602.25
734.51 , 2.14 , -602.02
739.03 , 1.94 , -601.78
743.67 , 1.73 , -601.53
748.42 , 1.51 , -601.28
753.28 , 1.27 , -601.03
758.24 , 1.02 , -600.76
763.27 , 0.77 , -600.5
768.34 , 0.53 , -600.23
773.4 , 0.32 , -599.97
778.43 , 0.17 , -599.7
783.38 , 0.09 , -599.44
788.21 , 0.05 , -599.18
792.85 , 0.06 , -598.94
797.24 , 0.08 , -598.71
801.34 , 0.11 , -598.49
805.09 , 0.12 , -598.3
808.53 , 0.12 , -598.12
811.67 , 0.12 , -597.95
814.55 , 0.11 , -597.78
817.21 , 0.1 , -597.61
819.67 , 0.1 , -597.44
821.96 , 0.09 , -597.24
824.09 , 0.09 , -597.01
826.08 , 0.09 , -596.72
827.95 , 0.09 , -596.37
829.7 , 0.09 , -595.94
831.37 , 0.09 , -595.44
832.95 , 0.09 , -594.88
834.46 , 0.09 , -594.29
835.93 , 0.09 , -593.68
837.35 , 0.08 , -593.05
838.74 , 0.08 , -592.41
840.12 , 0.08 , -591.76
841.49 , 0.08 , -591.08
842.85 , 0.08 , -590.39
844.22 , 0.08 , -589.66
845.6 , 0.08 , -588.87
846.98 , 0.08 , -587.99
848.37 , 0.08 , -587.0
849.76 , 0.08 , -585.85
851.15 , 0.08 , -584.53
852.53 , 0.08 , -583.05
853.88 , 0.08 , -581.45
855.21 , 0.08 , -579.74
856.49 , 0.08 , -577.95
857.72 , 0.08 , -576.1
858.89 , 0.08 , -574.16
859.98 , 0.08 , -572.11
860.98 , 0.08 , -569.91
861.89 , 0.08 , -567.53
862.7 , 0.08 , -564.94
863.41 , 0.08 , -562.17
864.05 , 0.08 , -559.22
864.62 , 0.08 , -556.13
865.15 , 0.08 , -552.92
865.65 , 0.08 , -549.6
866.11 , 0.08 , -546.17
866.51 , 0.08 , -542.62
866.83 , 0.08 , -538.93
867.06 , 0.08 , -535.11
867.18 , 0.08 , -531.14
867.2 , 0.08 , -527.02
867.13 , 0.08 , -522.76
866.96 , 0.08 , -518.36
866.7 , 0.08 , -513.83
866.36 , 0.08 , -509.18
865.92 , 0.08 , -504.42
865.37 , 0.08 , -499.58
864.71 , 0.08 , -494.68
863.92 , 0.08 , -489.75
863.0 , 0.08 , -484.8
861.99 , 0.08 , -479.85
860.97 , 0.08 , -474.9
860.0 , 0.08 , -469.94
859.14 , 0.08 , -464.98
858.43 , 0.08 , -460.01
857.87 , 0.08 , -454.96
857.4 , 0.08 , -449.76
857.01 , 0.08 , -444.32
856.65 , 0.08 , -438.56
856.3 , 0.08 , -432.44
855.88 , 0.08 , -426.04
855.34 , 0.08 , -419.51
854.61 , 0.08 , -412.96
853.64 , 0.08 , -406.51
852.36 , 0.08 , -400.29
850.84 , 0.08 , -394.33
849.14 , 0.08 , -388.66
